Title,Date,title_nostop,title_stemmed,sentiment_score
"['wegovyeffekten', 'sender', 'novo', 'nordisks', 'resultat', 'mod', 'skyerne', 'og', 'ud', 'i', 'massive', 'kapacitetsproblemer', 'på', 'helt', 'centralt', 'marked']",2023-05-04,"['wegovyeffekten', 'sender', 'novo', 'nordisks', 'resultat', 'skyerne', 'massive', 'kapacitetsproblemer', 'helt', 'centralt', 'marked']","['wegovyeffek', 'send', 'novo', 'nordisk', 'resultat', 'skyern', 'massiv', 'kapacitetsproblem', 'helt', 'centralt', 'marked']",0.0
"['salg', 'af', 'fedmemidler', 'sender', 'resultatet', 'i', 'novo', 'nordisk', 'i', 'vejret']",2023-05-04,"['salg', 'fedmemidler', 'sender', 'resultatet', 'novo', 'nordisk', 'vejret']","['salg', 'fedmemidl', 'send', 'resultat', 'novo', 'nordisk', 'vejr']",0.0
"['novorival', 'får', 'lovende', 'testresultater', 'for', 'nyt', 'middel', 'mod', 'alzheimers']",2023-05-03,"['novorival', 'får', 'lovende', 'testresultater', 'nyt', 'middel', 'alzheimers']","['novorival', 'får', 'lov', 'testresultat', 'nyt', 'middel', 'alzheim']",2.0
"['businessoverblik', 'novo', 'nordisks', 'ærkerival', 'er', 'klar', 'til', 'at', 'få', 'godkendt', 'slankemiddel']",2023-04-28,"['businessoverblik', 'novo', 'nordisks', 'ærkerival', 'klar', 'få', 'godkendt', 'slankemiddel']","['businessoverblik', 'novo', 'nordisk', 'ærkerival', 'klar', 'få', 'godkend', 'slankemiddel']",3.0
"['minister', 'bakker', 'medicinalindustrien', 'op', 'eureform', 'er', 'bekymrende']",2023-04-27,"['minister', 'bakker', 'medicinalindustrien', 'eureform', 'bekymrende']","['minist', 'bak', 'medicinalindustri', 'eureform', 'bekymr']",-2.0
"['wegovy', 'er', 'på', 'kort', 'tid', 'blevet', 'dominerende', 'vægttabsmiddel']",2023-04-27,"['wegovy', 'kort', 'tid', 'blevet', 'dominerende', 'vægttabsmiddel']","['wegovy', 'kort', 'tid', 'blev', 'domin', 'vægttabsmiddel']",0.0
"['joe', 'biden', 'raser', 'over', 'dyr', 'insulin', 'men', 'presset', 'på', 'novo', 'nordisk', 'kommer', 'et', 'helt', 'andet', 'sted', 'fra']",2023-04-26,"['joe', 'biden', 'raser', 'dyr', 'insulin', 'presset', 'novo', 'nordisk', 'kommer', 'helt', 'andet', 'sted']","['joe', 'bid', 'ras', 'dyr', 'insulin', 'pres', 'novo', 'nordisk', 'kom', 'helt', 'and', 'sted']",-4.0
"['frygter', 'at', 'læger', 'bryder', 'regler', 'og', 'udsætter', 'patienter', 'for', 'unødig', 'risiko', 'brugen', 'af', 'novo', 'nordisks', 'slankemiddel', 'undersøges']",2023-04-26,"['frygter', 'læger', 'bryder', 'regler', 'udsætter', 'patienter', 'unødig', 'risiko', 'brugen', 'novo', 'nordisks', 'slankemiddel', 'undersøges']","['frygt', 'læg', 'bryd', 'regl', 'udsæt', 'patient', 'unød', 'risiko', 'brug', 'novo', 'nordisk', 'slankemiddel', 'undersøg']",-5.0
"['25', 'år', 'normalvægtig', 'tidligere', 'spiseforstyrret', 'og', 'godkendt', 'til', 'novo', 'nordisks', 'nye', 'slankemiddel', 'skræmmende']",2023-04-26,"['25', 'år', 'normalvægtig', 'tidligere', 'spiseforstyrret', 'godkendt', 'novo', 'nordisks', 'nye', 'slankemiddel', 'skræmmende']","['25', 'år', 'normalvæg', 'tid', 'spiseforstyr', 'godkend', 'novo', 'nordisk', 'nye', 'slankemiddel', 'skræm']",0.0
"['novo', 'nordisk', 'bruger', 'milliarder', 'på', 'tvreklamer', 'i', 'usa']",2023-04-25,"['novo', 'nordisk', 'bruger', 'milliarder', 'tvreklamer', 'usa']","['novo', 'nordisk', 'brug', 'milliard', 'tvreklam', 'usa']",0.0
