Title,Date,title_nostop,title_stemmed,sentiment_score
"['stor', 'efterspørgsel', 'på', 'novo', 'nordisk']",2007-04-19,"['stor', 'efterspørgsel', 'novo', 'nordisk']","['stor', 'efterspørgsel', 'novo', 'nordisk']",-1.0
"['novo', 'nordiskaktien', 'opjusteres']",2007-04-17,"['novo', 'nordiskaktien', 'opjusteres']","['novo', 'nordiskakti', 'opjust']",0.0
"['novo', 'nordisk', 'holder', 'afstand', 'til', 'storkonkurrent']",2007-04-17,"['novo', 'nordisk', 'holder', 'afstand', 'storkonkurrent']","['novo', 'nordisk', 'hold', 'afstand', 'storkonkurrent']",0.0
"['a', 'og', 'baktier', 'må', 'fastholdes']",2007-04-17,"['a', 'baktier', 'må', 'fastholdes']","['a', 'bakti', 'må', 'fasthold']",0.0
"['novokonkurrent', 'løfter', 'forventningerne']",2007-04-16,"['novokonkurrent', 'løfter', 'forventningerne']","['novokonkurrent', 'løft', 'forventning']",0.0
"['aktieoverblik', 'ny', 'straf', 'til', 'gnaktionærer']",2007-04-13,"['aktieoverblik', 'ny', 'straf', 'gnaktionærer']","['aktieoverblik', 'ny', 'straf', 'gnaktionær']",-2.0
"['novochef', 'ser', 'kina', 'som', 'nyt', 'toptre', 'marked']",2007-04-13,"['novochef', 'ser', 'kina', 'nyt', 'toptre', 'marked']","['novochef', 'ser', 'kina', 'nyt', 'toptr', 'marked']",0.0
"['nasdaq', 'på', 'vej', 'til', 'københavn']",2007-04-13,"['nasdaq', 'vej', 'københavn']","['nasdaq', 'vej', 'københavn']",0.0
"['forskere', 'erstatter', 'insulin', 'med', 'gift']",2007-04-12,"['forskere', 'erstatter', 'insulin', 'gift']","['forsk', 'erstat', 'insulin', 'gift']",-2.0
"['dagen', 'derpå', 'for', 'de', 'danske', 'aktier']",2007-04-11,"['dagen', 'derpå', 'danske', 'aktier']","['dag', 'derpå', 'dansk', 'akti']",0.0
"['aktieoverblik', 'danske', 'aktier', 'mod', 'strømmen']",2007-04-11,"['aktieoverblik', 'danske', 'aktier', 'strømmen']","['aktieoverblik', 'dansk', 'akti', 'strøm']",0.0
"['novo', 'vinder', 'på', 'dårlig', 'start', 'for', 'inhalerbar', 'insulin']",2007-04-11,"['novo', 'vinder', 'dårlig', 'start', 'inhalerbar', 'insulin']","['novo', 'vind', 'dår', 'start', 'inhalerbar', 'insulin']",0.0
"['novo', 'drosler', 'ned', 'i', 'sagen', 'mod', 'pfizer']",2007-04-11,"['novo', 'drosler', 'sagen', 'pfizer']","['novo', 'drosl', 'sag', 'pfiz']",0.0
"['novo', 'opjusteret', 'af', 'morgan', 'stanley']",2007-04-11,"['novo', 'opjusteret', 'morgan', 'stanley']","['novo', 'opjust', 'morgan', 'stanley']",0.0
"['god', 'vind', 'efter', 'påske', 'i', 'de', 'danske', 'aktier']",2007-04-11,"['god', 'vind', 'påske', 'danske', 'aktier']","['god', 'vind', 'påsk', 'dansk', 'akti']",3.0
"['god', 'vind', 'til', 'de', 'danske', 'aktier']",2007-04-10,"['god', 'vind', 'danske', 'aktier']","['god', 'vind', 'dansk', 'akti']",3.0
"['god', 'vind', 'i', 'de', 'danske', 'aktier']",2007-04-10,"['god', 'vind', 'danske', 'aktier']","['god', 'vind', 'dansk', 'akti']",3.0
"['novorivalen', 'pfizer', 'ligner', 'et', 'flop']",2007-04-10,"['novorivalen', 'pfizer', 'ligner', 'flop']","['novorival', 'pfiz', 'lign', 'flop']",-2.0
"['læger', 'i', 'usa', 'dumper', 'novomiddel']",2007-04-04,"['læger', 'usa', 'dumper', 'novomiddel']","['læg', 'usa', 'dump', 'novomiddel']",0.0
"['forårshumør', 'i', 'de', 'hjemlige', 'aktieindeks']",2007-04-04,"['forårshumør', 'hjemlige', 'aktieindeks']","['forårshumør', 'hjem', 'aktieindek']",0.0
"['forårshumør', 'blandt', 'de', 'hjemlige', 'aktier']",2007-04-03,"['forårshumør', 'blandt', 'hjemlige', 'aktier']","['forårshumør', 'bland', 'hjem', 'akti']",0.0
"['aktieoverblik', 'lundbeck', 'fortsætter', 'ned']",2007-04-03,"['aktieoverblik', 'lundbeck', 'fortsætter']","['aktieoverblik', 'lundbeck', 'fortsæt']",0.0
"['aktieoverblik', 'smæk', 'til', 'isoleret', 'lundbeck']",2007-04-03,"['aktieoverblik', 'smæk', 'isoleret', 'lundbeck']","['aktieoverblik', 'smæk', 'isol', 'lundbeck']",0.0
"['nye', 'data', 'støtter', 'novos', 'insulinpræparat']",2007-04-03,"['nye', 'data', 'støtter', 'novos', 'insulinpræparat']","['nye', 'data', 'støt', 'novo', 'insulinpræparat']",2.0
"['ds', 'torm', 'har', 'solgt', 'aktieposten', 'i', 'norden']",2007-04-03,"['ds', 'torm', 'solgt', 'aktieposten', 'norden']","['ds', 'torm', 'solg', 'aktiepost', 'nord']",0.0
"['dårlig', 'påskeoptakt', 'fra', 'de', 'danske', 'aktier']",2007-04-02,"['dårlig', 'påskeoptakt', 'danske', 'aktier']","['dår', 'påskeoptak', 'dansk', 'akti']",-3.0
