mean,std,volume_of_articles
1.0,1.4142135623730951,2
0.5454545454545454,2.018099916438052,11
1.0,1.7320508075688772,3
1.5,0.5773502691896257,4
1.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
3.0,,1
0.6666666666666666,1.1547005383792517,3
0.5,1.9148542155126764,4
0.0,,1
0.0,0.0,2
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,0.0,2
0.4,0.8944271909999159,5
0.3333333333333333,0.5773502691896258,3
1.0,1.4142135623730951,4
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.0,0.0,2
-0.25,0.5,4
-0.42857142857142855,1.1338934190276817,7
-0.5,3.5355339059327378,2
0.0,,1
0.0,,1
2.0,2.8284271247461903,2
0.6,1.3416407864998738,5
0.6923076923076923,1.377474463442389,13
0.0,0.0,6
0.0,,1
0.0,0.0,3
0.0,0.0,4
1.5,2.1213203435596424,2
0.0,0.0,3
0.0,0.0,3
1.5,2.1213203435596424,2
-2.0,,1
0.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.0,0.0,4
0.0,0.0,4
1.0,1.4142135623730951,2
0.0,0.0,2
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
-0.5,1.0,4
1.0,,1
-2.0,,1
1.6666666666666667,1.5275252316519468,3
0.5,0.5773502691896257,4
0.0,0.0,2
-2.0,,1
0.0,,1
0.0,,1
0.42857142857142855,2.14919697074224,7
1.5,2.16794833886788,6
4.0,,1
0.0,,1
2.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,0.0,2
0.0,,1
1.5,2.1213203435596424,2
-0.75,0.9574271077563381,4
0.0,0.0,4
-2.0,1.632993161855452,4
-2.5,0.7071067811865476,2
0.0,,1
0.0,0.0,3
0.6666666666666666,1.1547005383792517,3
0.0,,1
0.0,0.0,3
0.4,2.1908902300206643,5
0.0,,1
-2.0,,1
-0.3333333333333333,1.5275252316519465,3
0.0,0.0,2
0.0,0.0,2
1.0,1.4142135623730951,2
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
-5.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.3333333333333333,0.5773502691896258,3
0.0,1.1832159566199232,11
-0.6,1.949358868961793,5
2.0,,1
0.0,,1
-1.0,,1
0.0,0.0,3
-1.0,1.4142135623730951,2
-5.0,,1
-3.5,0.7071067811865476,2
2.0,,1
0.0,,1
0.0,0.0,2
0.16666666666666666,1.6020819787597222,6
3.0,,1
-1.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,,1
-2.5,3.5355339059327378,2
0.0,0.0,2
-0.3333333333333333,0.5773502691896258,3
-3.0,,1
0.0,1.4142135623730951,2
-0.6666666666666666,1.1547005383792517,3
0.0,,1
0.125,1.1259916264596033,8
0.25,1.707825127659933,4
-2.0,,1
0.0,0.0,2
1.0,1.4142135623730951,2
-0.3333333333333333,0.5773502691896258,3
0.0,0.0,4
0.0,,1
0.0,,1
2.0,,1
-3.0,0.0,2
0.0,,1
-0.3333333333333333,0.5773502691896258,3
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.5,0.7071067811865476,2
1.0,1.4142135623730951,2
0.3333333333333333,2.886751345948129,3
-5.0,0.0,2
0.0,,1
-1.0,,1
0.0,,1
-2.0,,1
0.0,0.0,2
1.5,0.7071067811865476,2
1.0,1.4142135623730951,2
0.0,,1
0.0,2.0,3
0.0,,1
2.5,0.7071067811865476,2
0.0,,1
-0.4,0.894427190999916,5
0.3333333333333333,1.4960264830861913,15
0.0,0.0,6
0.0,,1
0.6666666666666666,1.1547005383792517,3
0.6666666666666666,1.1547005383792517,3
0.0,,1
0.0,,1
0.0,,1
2.0,1.7320508075688772,3
2.0,,1
0.5,0.7071067811865476,2
0.0,0.0,2
-1.0,1.4142135623730951,2
0.0,1.632993161855452,4
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
-1.0,1.7320508075688772,3
0.0,,1
0.0,,1
0.5,1.0,4
0.0,0.0,2
0.0,0.0,2
1.3333333333333333,1.1547005383792517,3
0.0,2.0,3
0.5,1.0,4
-3.0,,1
0.0,1.4142135623730951,10
1.5,1.0,4
-1.0,0.0,2
0.0,0.0,2
3.5,0.7071067811865476,2
-0.5,1.0,4
0.0,0.0,2
2.0,2.0,3
0.4,0.8944271909999159,5
-1.5,0.7071067811865476,2
0.0,,1
0.3,1.1595018087284057,10
0.0,0.0,2
0.0,,1
0.0,0.0,4
-0.3333333333333333,0.5773502691896258,3
-2.0,,1
0.0,0.0,2
-1.0,1.7320508075688772,3
0.0,,1
0.0,,1
1.3333333333333333,1.1547005383792517,3
1.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.6666666666666666,1.1547005383792517,3
0.0,,1
-2.0,2.309401076758503,4
-1.0,,1
2.0,,1
3.0,,1
0.0,,1
-0.75,1.4880476182856899,8
0.42857142857142855,0.7867957924694432,7
0.0,0.0,2
-0.4,1.6733200530681511,5
-0.25,2.0615528128088303,4
0.0,,1
-1.0,1.4142135623730951,2
-2.0,,1
-4.0,,1
-0.25,0.5,4
3.3333333333333335,0.5773502691896258,3
-1.0,1.4142135623730951,2
3.0,4.242640687119285,2
0.0,,1
1.0,1.4142135623730951,2
0.0,0.0,2
0.0,,1
-1.0,,1
0.16666666666666666,0.5773502691896257,12
-0.8571428571428571,1.4638501094227998,7
-2.0,,1
3.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-0.5,0.7071067811865476,2
0.0,0.0,2
0.0,0.816496580927726,4
-0.5,0.7071067811865476,2
0.0,0.0,2
0.0,,1
3.0,3.4641016151377544,4
0.0,,1
0.0,0.0,4
2.5,0.7071067811865476,2
0.0,,1
-1.0,1.4142135623730951,2
-0.4,1.577621275493231,10
-2.0,,1
0.0,,1
1.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,0.0,3
-2.0,,1
0.0,,1
1.0,,1
-1.0,,1
-1.0,1.4142135623730951,2
-0.8,2.280350850198276,5
0.3333333333333333,0.5773502691896258,3
-2.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.5,1.3093073414159542,8
0.0,,1
0.0,,1
1.0,0.0,2
0.6923076923076923,1.5483655567842813,13
0.7142857142857143,0.9511897312113419,7
0.0,0.0,2
0.0,,1
1.0,1.4142135623730951,5
0.5,0.9660917830792959,16
0.8571428571428571,1.5735915849388864,7
0.0,,1
